,time,low,high,open,close,volume,date,percent
0,1516948380,11293.24,11300.0,11299.99,11293.24,0.30418511000000004,2018-01-26 07:33:00,-0.05973456613678419
1,1516948440,11282.13,11282.39,11282.39,11282.13,1.2331121400000002,2018-01-26 07:34:00,-0.0023044762678848924
2,1516948500,11280.0,11282.13,11282.13,11280.01,1.0314201,2018-01-26 07:35:00,-0.018790777982517323
3,1516948560,11280.0,11280.01,11280.0,11280.0,0.7301896999999999,2018-01-26 07:36:00,0.0
4,1516948620,11280.0,11280.0,11280.0,11280.0,0.15201237,2018-01-26 07:37:00,0.0
5,1516948680,11279.99,11295.0,11279.99,11294.99,3.75057749,2018-01-26 07:38:00,0.13297884129329904
6,1516948740,11299.99,11315.0,11300.0,11315.0,2.0594552200000003,2018-01-26 07:39:00,0.1327433628318584
7,1516948800,11315.47,11360.0,11315.47,11360.0,3.10629068,2018-01-26 07:40:00,0.3935320406487813
8,1516948860,11359.99,11360.0,11360.0,11359.99,0.27190307999999996,2018-01-26 07:41:00,-8.802816901600598e-05
9,1516948920,11359.99,11360.0,11360.0,11360.0,0.30444697000000004,2018-01-26 07:42:00,0.0
10,1516948980,11359.99,11360.0,11359.99,11359.99,0.5998184900000001,2018-01-26 07:43:00,0.0
11,1516949040,11359.99,11373.06,11359.99,11373.06,1.2569090900000002,2018-01-26 07:44:00,0.11505291818038317
12,1516949100,11374.81,11380.0,11375.0,11378.99,7.94174744,2018-01-26 07:45:00,0.03507692307692116
13,1516949160,11352.14,11378.99,11378.99,11370.0,1.3693155399999999,2018-01-26 07:46:00,-0.07900525442064525
14,1516949220,11359.99,11369.99,11367.84,11359.99,6.6614571399999996,2018-01-26 07:47:00,-0.06905445537587056
15,1516949280,11355.69,11370.0,11370.0,11355.7,2.15355995,2018-01-26 07:48:00,-0.12576956904133046
16,1516949340,11355.69,11360.0,11355.69,11359.99,2.9948676499999998,2018-01-26 07:49:00,0.03786647927161865
17,1516949400,11359.99,11369.0,11359.99,11369.0,4.520170570000001,2018-01-26 07:50:00,0.07931345009986997
18,1516949460,11368.99,11369.0,11368.99,11369.0,0.93047281,2018-01-26 07:51:00,8.795856096467917e-05
19,1516949520,11368.99,11370.0,11369.0,11370.0,1.84932545,2018-01-26 07:52:00,0.00879584835957428
20,1516949580,11369.99,11370.0,11369.99,11369.99,5.03408804,2018-01-26 07:53:00,0.0
21,1516949640,11369.99,11370.0,11370.0,11369.99,0.5975119999999999,2018-01-26 07:54:00,-8.795074758327421e-05
